pid,name,category,price,type,explanation,image
37,긴팔와이셔츠,패션의류,19800,상의,"고급 스판 슬림 화이트 흰색 와이셔츠<br>물세탁 가능, 드라이크리닝 권장",ytucm.png
38,운동화,패션의류,55000,신발,"남자 여자 공용 트레이닝 런닝화",운동화.jpg
39,샌들(여성),패션의류,80000,신발,"제조: 중국<br>색상:GREEN<br>
굽 높이 6cm",tosemf.png
40,슬리퍼,패션의류,15500,신발,"사이즈 230~280 데일리 슬리퍼 블랙<br>제조:중국",tmfflvj.png
41,구두(남성용),패션의류,113100,신발,"색상 : 블랙<br>
주소재: 소가죽, 제조:한국<br>특별할인가",rnen.png
42,"배드민턴 라켓",스포츠레저,35000,스포츠,"라켓 2자루, 케이스 포함<br>
견고한 프레임으로 깨끗한 타구감을 제공합니다",badmin.jpg
43,요가매트,스포츠레저,9000,스포츠,"6mm 그레이 요가 홈트 헬스매트",yoga.png
44,자전거,스포츠레저,190000,스포츠,20인치바퀴/15kg<br>자전거+실리콘라이트+미니벨,bike.jpg
45,물안경,스포츠레저,37000,스포츠,"선수용 강습용 물안경",wglass.png
46,진라면,식품,4000,라면,"진하고 얼큰한 국물과 쫄깃한 면발의 진라면 매운맛 120g*5개",wls.jpg
47,불닭볶음면(컵),식품,1400,라면,"104g 425kcal<br>K-Spicy의 아이콘!<br>계속 끌리는 중독성 강한 매운맛의 불닭볶음면",qnfekfr.jpg
48,신라면(큰컵),식품,1400,라면,"114g 490kcal<br>신라면은 우리 입맛에 맞는 얼큰하고 매운맛 제품으로 농심의 정성과 앞선 기술 그리고 좋은 원료로 만들어 남녀노소 구분없이 많은 사랑을 받는 제품입니다.",tlscup.jpg
49,낚싯대,스포츠레저,200000,레저,"초경량 고감도 퍼펙트밸런스 낚싯대",fishing.png
50,오리발,스포츠레저,48000,레저,"오리발 가방 포함",오리발.png
51,등산배낭,스포츠레저,30000,레저,"그레이 다용도 등산 배낭",등산배낭.png
52,노트,생활용품,4800,문구류,"스프링 노트 5권 세트 판매",note.png
53,형광펜,생활용품,2400,문구류,"6색 세트<br>잉크 맺힘 없는 파스텔톤 형광펜",형광펜.png
54,반바지,패션의류,18000,하의,"여름 아웃포켓 5부 반바지 밴딩 팬츠 남성용 베이지",short.png
55,"트레이닝복 바지",패션의류,29500,하의,"남자 여자 공용 밴딩 기모 와이드 트레이닝 바지",트레이닝복.png
56,패딩,패션의류,47000,겉옷,"가볍고 따뜻한 오버핏 남녀공용 숏패딩<br>보온, 방풍 효과 좋은 하이넥 디자인<br>색상: 그레이",패딩.png
57,"진라면 순한맛",식품,4000,라면,"진하고 담백한 국물과 쫄깃한 면발의 진라면 순한맛 120g*5개",wlstns.jpg
58,다이어리,생활용품,14000,문구류,"2024년 날짜형 다이어리",ekdldjfl.png
59,샤프,생활용품,3000,문구류,"정확한 작동과 안정된 품질 - 스탠다드한 6각 디자인으로 안정감 있는 필기감을 유지합니다",tivm.png
60,린스,생활용품,16900,헤어뷰티,"헤어 컨디셔닝 린스 딥 클린 850ml",flstm.png
61,바디로션,생활용품,13900,헤어뷰티,"연약하고 건조한 피부를 건강하고 촉촉하게 가꿔주는 저자극 고보습 로션<br> 하이포알러제닉 테스트,피부과 테스트 완료",fhtus.png
62,클렌징폼,생활용품,10000,헤어뷰티,"촉촉한 올리브 클렌징폼 200ml<br>중건성 피부용",zmfvha.png
63,맨투맨,패션의류,30000,상의,"남자 여자 공용 데일리 베이직 무지 기모 맨투맨 (블랙)",mtm.png
64,니트,패션의류,40000,상의,"여성 라운드넥 니트 프리사이즈",slxm.png
65,코트,패션의류,90000,겉옷,"핸드메이드 슬림핏 베이직 코트 브라운 컬러",coat.png
66,롱패딩,패션의류,180000,겉옷,"아디다스 롱 다운 코트 블랙화이트<br>겉감/안감-폴리에스터100%, 충전재-오리솜털80%, 오리깃털20%",long.png
67,후드집업,패션의류,64000,겉옷,"남성 겨울 나이키 기모 후드집업 (그레이)",zip.png
68,롱스커트,패션의류,20000,하의,"롱 플리츠 스커트<br>
색상: 블랙 사이즈:FREE",lskirt.png
69,슬랙스,패션의류,40000,하의,"여성 기모 부츠컷 슬랙스 (블랙)",tmffor.png
